1.6307,73.342,2.6148e+06,0.069175,0.024987,0.16695,21.375,1.1989,1.2407,49171,0.5201,0.061678,0.17819,4.6081e-07,9.1568e-07,0.026948,0.016494,93.994,965.48,1.2332,0.81649,38.879,554.79,96.542,0.43683,9.9991e-06,9.7379e-06,0.20763,0.41823,169.2,81.737,0.67813,3942.3,0.71152,0.03218,0.08686,0.87553,0.20693,3.2672e-07,2.3985e-06,4.2589e-06,3.2296e-06,9.8451e+05,93249,22748,4.6414
24.739,76.111,2.9225e+06,0.072221,0.024371,0.18203,21.098,1.1405,1.2992,49233,0.53856,0.064447,0.18373,4.3035e-07,9.4614e-07,0.027871,0.01646,94.579,980.87,1.2916,0.78879,39.495,558.36,100.46,0.42453,9.7239e-06,9.461e-06,0.19532,0.40592,181.51,79.275,0.72425,868.44,0.72691,0.035254,0.089934,0.84507,0.17924,3.4057e-07,2.5431e-06,3.982e-06,2.9527e-06,9.8503e+05,96018,25517,4.3337
49.108,78.881,3.2302e+06,0.075267,0.023756,0.1971,21.179,1.082,1.3576,49294,0.55702,0.067216,0.18927,3.9989e-07,9.766e-07,0.028795,0.016426,95.164,996.25,1.3501,0.7611,40.11,561.93,104.38,0.41222,9.447e-06,9.1841e-06,0.18301,0.39361,193.82,76.814,0.77037,2405.4,0.74229,0.038328,0.093008,0.81461,0.15155,3.5442e-07,2.6877e-06,3.7051e-06,2.6757e-06,9.5457e+05,98787,28286,4.0261
73.477,81.65,3.5378e+06,0.078313,0.023141,0.21218,21.456,1.0235,1.4161,49356,0.57548,0.069986,0.1948,3.6943e-07,9.9294e-07,0.029718,0.016391,95.748,988.36,1.4085,0.73341,40.725,565.49,108.29,0.39991,9.1701e-06,8.9072e-06,0.1707,0.38131,206.13,74.352,0.8165,5479.2,0.75767,0.041402,0.096082,0.78415,0.12386,3.6826e-07,2.8324e-06,3.4282e-06,2.3988e-06,9.2411e+05,98444,31055,3.7184
97.846,84.419,3.8455e+06,0.081359,0.022525,0.22726,21.733,0.96507,1.4746,49417,0.59394,0.072755,0.20034,3.3897e-07,9.6248e-07,0.030641,0.016357,96.333,972.98,1.467,0.70572,41.341,569.06,112.21,0.3876,8.8932e-06,8.6302e-06,0.1584,0.369,218.44,71.89,0.86262,8553.1,0.77306,0.044475,0.099155,0.75368,0.10384,3.8211e-07,2.977e-06,3.1512e-06,2.1219e-06,8.9365e+05,95674,33824,3.4107
77.785,87.188,4.1532e+06,0.084405,0.02191,0.24233,22.01,0.90661,1.533,49479,0.6124,0.075524,0.20588,3.0851e-07,9.3202e-07,0.031564,0.016323,96.917,957.59,1.5255,0.67803,41.956,572.63,116.12,0.3753,8.6162e-06,8.3533e-06,0.14609,0.35669,230.74,69.429,0.90874,11627,0.78844,0.047549,0.097771,0.72322,0.13153,3.9595e-07,3.1216e-06,2.8743e-06,1.845e-06,8.6318e+05,92905,36594,3.103
53.415,89.957,4.4608e+06,0.087452,0.021294,0.25741,22.287,0.84815,1.5915,49540,0.63086,0.078293,0.21142,2.7804e-07,9.0156e-07,0.032487,0.016289,97.502,942.21,1.5839,0.65033,42.572,575.8,120.04,0.36299,8.3393e-06,8.0764e-06,0.13378,0.34438,243.05,66.967,0.95487,14701,0.80383,0.050623,0.094697,0.69276,0.15922,4.098e-07,3.2662e-06,2.5974e-06,1.5681e-06,8.3272e+05,90136,39363,2.7953
29.046,92.727,4.7685e+06,0.090498,0.020679,0.27249,22.564,0.78969,1.6499,49602,0.64933,0.081063,0.21696,2.4758e-07,8.7109e-07,0.03341,0.016254,98.087,926.82,1.6424,0.62264,43.187,572.23,123.96,0.35068,8.0624e-06,7.7995e-06,0.12147,0.33207,255.36,64.506,1.001,17775,0.81921,0.053697,0.091623,0.6623,0.18691,4.2365e-07,3.4108e-06,2.3205e-06,1.2911e-06,8.0226e+05,87367,42132,2.4876
4.6768,95.496,5.0761e+06,0.093544,0.020064,0.28756,22.841,0.73123,1.7084,49664,0.66779,0.083832,0.2225,2.1712e-07,8.4063e-07,0.034333,0.01622,98.671,911.44,1.7009,0.59495,43.802,568.66,127.87,0.33837,7.7855e-06,7.5225e-06,0.10917,0.31977,267.67,62.044,1.0471,20848,0.8346,0.056771,0.088549,0.63184,0.21461,4.3749e-07,3.5554e-06,2.0436e-06,1.0142e-06,7.718e+05,84598,44901,2.1799
21.692,98.265,5.3838e+06,0.09659,0.019448,0.30264,23.118,0.67277,1.7669,49725,0.68625,0.086601,0.22804,1.8666e-07,8.1017e-07,0.035256,0.016186,99.256,896.05,1.7593,0.56726,44.418,565.09,131.79,0.32607,7.5086e-06,7.2456e-06,0.10314,0.30746,279.97,59.583,1.0932,23922,0.84998,0.059845,0.085475,0.60138,0.2423,4.5134e-07,3.7001e-06,1.7666e-06,1.2627e-06,7.4134e+05,81828,47671,1.8722
